JobClear,companyClear,dateClean,skills,education,language,dateColect,country,cityClear,stateClear,url
Data Scientist for Machine Learning VC Funded Startup,,2018-01-07, mathematica model visualization mathematica r visualization tableau hbase,,,2018-01-24,canada,ND,ND,https://www.glassdoor.com/partner/jobListing.htm?pos=510&ao=36811&s=58&guid=000001612adfec7fb365bf1da8fe704e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_16eb4ffb&cb=1516842774181&jobListingId=2629904299
Data Scientist Casualty Commercial Lines Machine Learning,DW Simpson   Company,2018-01-09, regression,,,2018-01-24,canada,Canada,Canada,https://www.glassdoor.com/partner/jobListing.htm?pos=511&ao=4120&s=58&guid=000001612adfec7fb365bf1da8fe704e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f9540313&cb=1516842774183&jobListingId=2297990319
Data Engineer I,Amazon,2018-01-09, correlation data set aws cloud model hue data set data set mathematica value data set hadoop hive spark python ruby java,,,2018-01-24,canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=512&ao=133043&s=58&guid=000001612adfec7fb365bf1da8fe704e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_07005f37&cb=1516842774184&jobListingId=2492654834
Costing Data Analyst,lululemon,2018-01-10, correlation standard deviation excel classification aws,,,2018-01-24,canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=513&ao=102921&s=58&guid=000001612adfec7fb365bf1da8fe704e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_940822b4&cb=1516842774185&jobListingId=2586775484
Cognitive Apps Engineer Data Scientist Consulting,IBM,2017-12-25, volume value algorithm r python spark sas spss sql database sql server nosql database mongodb algorithm r python spark sas spss sql database sql server nosql database mongodb python spark cassandra mongodb hadoop kafka nosql, master,,2018-01-24,canada,Ottawa,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=514&ao=55774&s=58&guid=000001612adfec7fb365bf1da8fe704e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_01265cf2&cb=1516842774186&jobListingId=2606962735
Data Wrangler and Scientist,S P GLOBAL MARKET INTELLIGENCE,2017-12-30, model regression algorithm scripting python r python storage database sql hadoop spark nosql mathematica model scala javascript java,,,2018-01-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=515&ao=133023&s=58&guid=000001612adfec7fb365bf1da8fe704e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f3f6b84a&cb=1516842774188&jobListingId=2555538048
Data Analytics,,2018-01-04, model data set visualization dashboard visualization data set sas visualization dashboard tableau sas visualization dashboard sas value regression r python sas unstructured data sql median,,,2018-01-24,canada,ND,ND,https://www.glassdoor.com/partner/jobListing.htm?pos=516&ao=4120&s=58&guid=000001612adfec7fb365bf1da8fe704e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_db542035&cb=1516842774189&jobListingId=2583370556
Data Engineer,xMatters,2018-01-16, cloud sql query feature database database database database sql kafka cassandra nosql scripting python java database cloud aws cloud mean,,,2018-01-24,canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=517&ao=4120&s=58&guid=000001612adfec7fb365bf1da8fe704e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9e073e7d&cb=1516842774190&jobListingId=2617189112
Service Architect Data Scientist Optik TV Service Development,TELUS,2018-01-10, coefficient coefficient feature feature feature sas sas sas hive spark r python sql query value,,,2018-01-24,canada,Edmonton,AB,https://www.glassdoor.com/partner/jobListing.htm?pos=518&ao=102921&s=58&guid=000001612adfec7fb365bf1da8fe704e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_855ad15a&cb=1516842774191&jobListingId=2613110686
Research Scientist I,Amazon,2018-01-09, aws hue cloud java, bachelor master,,2018-01-24,canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=519&ao=133043&s=58&guid=000001612adfec7fb365bf1da8fe704e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8d511bf0&cb=1516842774193&jobListingId=2492654810
Big Data Principle Architect,Pythian,2018-01-02, scalability value model hadoop cloud java python sql hive mapreduce spark spark storm visualization hadoop query impala,,,2018-01-24,canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=520&ao=14295&s=58&guid=000001612adfec7fb365bf1da8fe704e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_f129f1a5&cb=1516842774194&jobListingId=2580519810
Engine Performance Analyst Data Scientist,,2018-01-03, algorithm algorithm clustering classification database algorithm algorithm dashboard mathematica python r sql server database, master master,,2018-01-24,canada,ND,ND,https://www.glassdoor.com/partner/jobListing.htm?pos=521&ao=14295&s=58&guid=000001612adfec7fb365bf1da8fe704e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_bedc3e6d&cb=1516842774195&jobListingId=2606117202
Data Analyst,Seedbox Technologies,2018-01-03, value database model mean mathematica econometrics r python visualization database excel spark,, english french,2018-01-24,canada,Montreal,QC,https://www.glassdoor.com/partner/jobListing.htm?pos=522&ao=4128&s=58&guid=000001612adfec7fb365bf1da8fe704e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2f74a8de&cb=1516842774196&jobListingId=2605865920
Software Development Engineer Data,A Thinking Ape,2018-01-15, storage hue visualization feature algorithm sql database hadoop aws hue value, phd,,2018-01-24,canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=523&ao=4120&s=58&guid=000001612adfec7fb365bf1da8fe704e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_44090117&cb=1516842774197&jobListingId=2591428250
Senior Data Science,Huawei Technologies,2018-01-15, value algorithm algorithm algorithm,,,2018-01-24,canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=524&ao=3949&s=58&guid=000001612adfec7fb365bf1da8fe704e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_81899adb&cb=1516842774198&jobListingId=2266053068
Applications Scientist,,2018-01-15, correlation model correlation feature feature,,,2018-01-24,canada,ND,ND,https://www.glassdoor.com/partner/jobListing.htm?pos=525&ao=102921&s=58&guid=000001612adfec7fb365bf1da8fe704e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_1f37e52c&cb=1516842774199&jobListingId=2637355302
Manager Data Scientist,Harris Bankcorp,2018-01-04, machine learning value volume unstructured data feature model mathematica clustering python r spotfire hbase value, master phd,,2018-01-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=526&ao=102921&s=58&guid=000001612adfec7fb365bf1da8fe704e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_25f48b61&cb=1516842774200&jobListingId=2627960886
Research Scientist,Canadian Nuclear Laboratories,2018-01-21, model model,,,2018-01-24,canada,Chalk River,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=527&ao=3949&s=58&guid=000001612adfec7fb365bf1da8fe704e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5709f2d9&cb=1516842774201&jobListingId=2573365249
Computational Scientist,Perimeter,2018-01-13, algorithm mathematica mathematica python visualization algorithm mathematica median, phd phd phd,,2018-01-24,canada,Waterloo,NS,https://www.glassdoor.com/partner/jobListing.htm?pos=528&ao=4348&s=58&guid=000001612adfec7fb365bf1da8fe704e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fead1158&cb=1516842774202&jobListingId=2589808292
Data Analyst,Labstat International ULC,2018-01-09, excel,,,2018-01-24,canada,Kitchener,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=529&ao=85058&s=58&guid=000001612adfec7fb365bf1da8fe704e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_781cedc8&cb=1516842774203&jobListingId=2631511611
Technical Team Lead Data Science,Lixar IT,2017-12-28, hue classification clustering regression visualization python scala,,,2018-01-24,canada,Halifax,NS,https://www.glassdoor.com/partner/jobListing.htm?pos=530&ao=4120&s=58&guid=000001612adfec7fb365bf1da8fe704e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_a6fd440f&cb=1516842774207&jobListingId=2553967475
Mitacs Intern Machine Learning Researcher Data Scientist,QB Information Technologies  QBit,2018-01-23, mathematica value algorithm mathematica algorithm python database algorithm value, master,,2018-01-24,canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=601&ao=4120&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6d749b62&cb=1516842975507&jobListingId=2598551605
Manager Data Scientist,BMO Harris Bank,2018-01-04, machine learning value volume unstructured data feature model mathematica clustering python r spotfire hbase value, master phd,,2018-01-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=602&ao=102921&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_544b3758&cb=1516842975507&jobListingId=2627805214
Entry Level Trader Finance Data Analyst Work Remotely,Maverick trading,2018-01-18, perl,,,2018-01-24,canada,Victoria,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=603&ao=136136&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_75eeaddd&cb=1516842975509&jobListingId=1723198688
Scientist Technology Integration Bioinformatics,Zymeworks,2018-01-10, algorithm algorithm data set mathematica algorithm r sas matlab python, phd,,2018-01-24,canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=604&ao=4120&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a15b3b56&cb=1516842975510&jobListingId=2564092163
Director of Data Science,Prodigy Game,2018-01-10, storage visualization visualization mathematica server machine learning volume python r java sql shell database aws cloud, phd,,2018-01-24,canada,Burlington,NL,https://www.glassdoor.com/partner/jobListing.htm?pos=605&ao=294953&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_34d528fb&cb=1516842975511&jobListingId=2587274625
Data Architect Central Technology Activision,Demonware,2018-01-16, sql perl database storage perl hadoop hive spark sql database java python scala avro storage cloud,,,2018-01-24,canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=606&ao=270709&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7fc61c53&cb=1516842975512&jobListingId=2638222850
Senior Manager Data Scientist and Machine Learning Specialist,BMO Harris Bank,2018-01-09, mathematica python r hadoop spark clustering hbase value, master phd,,2018-01-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=607&ao=102921&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_02b2deff&cb=1516842975514&jobListingId=2611529580
Senior Manager Data Scientist and Machine Learning Specialist,Harris Bankcorp,2018-01-09, mathematica python r hadoop spark clustering hbase value, master phd,,2018-01-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=608&ao=102921&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d381b79c&cb=1516842975515&jobListingId=2611501457
Data Analyst,,2018-01-16, sql server database,,,2018-01-24,canada,ND,ND,https://www.glassdoor.com/partner/jobListing.htm?pos=609&ao=4120&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e4995baa&cb=1516842975516&jobListingId=2205028533
Environmental Scientist,Parsons Corporation,2018-01-21, storage value,,,2018-01-24,canada,British Columbia,British Columbia,https://www.glassdoor.com/partner/jobListing.htm?pos=610&ao=186603&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c0a2a257&cb=1516842975518&jobListingId=2642869084
Senior Scientist,Caprion,2018-01-22, server standard deviation standard deviation hive,, french,2018-01-24,canada,Montreal,QC,https://www.glassdoor.com/partner/jobListing.htm?pos=611&ao=4341&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_88b02f97&cb=1516842975519&jobListingId=2643691933
Director Data Science,Sun Life Financial,2018-01-16, value perl perl visualization dashboard algorithm sql database hadoop hue,,,2018-01-24,canada,Waterloo,NS,https://www.glassdoor.com/partner/jobListing.htm?pos=613&ao=133461&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1028692a&cb=1516842975520&jobListingId=2638060690
Senior Scientist Clinical Research,Emergent Biosolutions  Inc,2018-01-24, matrix, phd master bachelor,,2018-01-24,canada,Winnipeg,MB,https://www.glassdoor.com/partner/jobListing.htm?pos=614&ao=55774&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_47516b7f&cb=1516842975522&jobListingId=2644933701
Project Manager Performance Analytics Data Scientist,Bell Canada,2018-01-05, mean sas sql mode de-identification mode database sas feature value server,, english french,2018-01-24,canada,Dorval,QC,https://www.glassdoor.com/partner/jobListing.htm?pos=615&ao=134631&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2a0ca2ad&cb=1516842975523&jobListingId=2629049312
Principal Scientist Preclinical Research,Emergent Biosolutions  Inc,2018-01-24, model excel model, phd,,2018-01-24,canada,Winnipeg,MB,https://www.glassdoor.com/partner/jobListing.htm?pos=616&ao=55774&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d70939f9&cb=1516842975524&jobListingId=2644933916
Analytical Scientist,,2018-01-04, model,,,2018-01-24,canada,ND,ND,https://www.glassdoor.com/partner/jobListing.htm?pos=617&ao=66506&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8f45be40&cb=1516842975525&jobListingId=2627167094
Research Scientist R D,Dow,2018-01-24, hbase spark,,,2018-01-24,canada,Canada,Canada,https://www.glassdoor.com/partner/jobListing.htm?pos=618&ao=239387&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3fc07311&cb=1516842975526&jobListingId=2645221560
Environmental Scientist Engineer Geologist,Wood,2018-01-23, value aws, bachelor,,2018-01-24,canada,Mississauga,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=619&ao=4120&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_58a7260d&cb=1516842975527&jobListingId=2644265274
Data Integrity Intern,The Centre For Drug Research And Development,2018-01-04, database,,,2018-01-24,canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=620&ao=66506&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2f16e712&cb=1516842975528&jobListingId=2627106068
Data Analyst Intern,,2018-01-17, mathematica mathematica model python visualization hadoop spark model, bachelor master, english french english french,2018-01-24,canada,ND,ND,https://www.glassdoor.com/partner/jobListing.htm?pos=621&ao=4120&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_e676599f&cb=1516842975529&jobListingId=2547274397
Scientist Clinical Research,Emergent Biosolutions  Inc,2018-01-24, de-identification, phd,,2018-01-24,canada,Winnipeg,MB,https://www.glassdoor.com/partner/jobListing.htm?pos=622&ao=55774&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e49161e5&cb=1516842975530&jobListingId=2644934201
Senior Data Scientist Global Center of Competence CoC,IBM,2018-01-14, cloud mathematica server value visualization mathematica mathematica visualization visualization r python spss model database unstructured data sql hadoop visualization javascript visualization mathematica mathematica visualization visualization r python spss model database unstructured data sql hadoop visualization javascript visualization, master master phd, english,2018-01-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=623&ao=140152&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9b0e6f2b&cb=1516842975531&jobListingId=2615344157
Data Analyst,QHR Technologies,2018-01-02, sql sql server storage storage database java,,,2018-01-24,canada,Kelowna,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=624&ao=60939&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_160df633&cb=1516842975532&jobListingId=2605490919
Junior Environmental Technician Scientist,WSP,2018-01-19, database classification,,,2018-01-24,canada,Kelowna,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=625&ao=3949&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_484225f0&cb=1516842975534&jobListingId=2641361082
Intermediate Environmental Technician Scientist,WSP,2018-01-22, classification database,,,2018-01-24,canada,Kelowna,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=626&ao=3949&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_402ec33f&cb=1516842975535&jobListingId=2643306941
Data Engineer,BC Safety Authority,2018-01-04, perl algorithm value median model lift algorithm scripting nosql database hbase cassandra kafka mahout spark database, master,,2018-01-24,canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=627&ao=4121&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e2e8535d&cb=1516842975536&jobListingId=2627935788
Senior Director Data Science,Loblaw Digital,2017-12-28, hana mean mean hadoop mapreduce hive hbase sqoop spark tableau hadoop mapreduce hive hbase unstructured data visualization model value shell,,,2018-01-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=628&ao=299951&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e30661b0&cb=1516842975537&jobListingId=2622524358
Entry Level Environmental Scientist,AECOM,2018-01-20, median mean de-identification value value,,,2018-01-24,canada,Guelph,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=629&ao=215939&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e8c38ff2&cb=1516842975539&jobListingId=2641912867
Intern Opportunity Data Analyst Intern,BGIS,2018-01-17, econometrics, bachelor master,,2018-01-24,canada,Markham,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=630&ao=3949&s=58&guid=000001612ae2feea91539ac25d7a0c43&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_dea7c177&cb=1516842975540&jobListingId=2617419582
Environmental Scientist Engineer,Dillon Consulting Limited,2018-01-19,,,,2018-01-24,canada,Saskatoon,SK,https://www.glassdoor.com/partner/jobListing.htm?pos=701&ao=4120&s=58&guid=000001612ae616238a5bb8ec4a7330e0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e243551c&cb=1516843177991&jobListingId=2641316932
Applied Scientist Alexa Smart Home,Amazon,2018-01-05, feature median,,,2018-01-24,canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=706&ao=133043&s=58&guid=000001612ae616238a5bb8ec4a7330e0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_03a145b3&cb=1516843177997&jobListingId=2608435594
PRINCIPAL SCIENTIST PRECLINICAL RESEARCH,Emergent BioSolutions,2018-01-19, excel value value model excel model, phd,,2018-01-24,canada,Winnipeg,MB,https://www.glassdoor.com/partner/jobListing.htm?pos=707&ao=4127&s=58&guid=000001612ae616238a5bb8ec4a7330e0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_16f10f36&cb=1516843177998&jobListingId=2641398984
Data Engineer,Morneau Shepell,2018-01-22, shell shell shell hadoop hive pig sqoop nosql database hbase mongodb cassandra sql server hadoop storm mahout spark shell shell shell shell,,,2018-01-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=708&ao=3949&s=58&guid=000001612ae616238a5bb8ec4a7330e0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_dc14578f&cb=1516843177999&jobListingId=2479868490
Scientifique Applications Application Scientist,Nuance,2018-01-12, algorithm mode mode algorithm mode feature model scripting,, english japanese french german,2018-01-24,canada,Montreal,QC,https://www.glassdoor.com/partner/jobListing.htm?pos=709&ao=4008&s=58&guid=000001612ae616238a5bb8ec4a7330e0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1f0be7a9&cb=1516843178000&jobListingId=2566389594
Data Engineer,Hubba,2018-01-18, shell sql excel python hadoop pandas nosql value,, english english,2018-01-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=711&ao=66506&s=58&guid=000001612ae616238a5bb8ec4a7330e0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7424d78f&cb=1516843178003&jobListingId=2618526743
Analytical Scientist,Catalent Pharma Solutions,2018-01-13,, bachelor,,2018-01-24,canada,Windsor,NB,https://www.glassdoor.com/partner/jobListing.htm?pos=712&ao=4011&s=58&guid=000001612ae616238a5bb8ec4a7330e0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c106fe86&cb=1516843178004&jobListingId=2635501125
R D Scientist Chemistry,SGS,2018-01-22, excel storage,,,2018-01-24,canada,Markham,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=713&ao=239401&s=58&guid=000001612ae616238a5bb8ec4a7330e0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b6b121dc&cb=1516843178005&jobListingId=2643034008
Research Scientist,DuPont™ Danisco,2018-01-14, value, phd master,,2018-01-24,canada,Ontario,Ontario,https://www.glassdoor.com/partner/jobListing.htm?pos=715&ao=4120&s=58&guid=000001612ae616238a5bb8ec4a7330e0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a941572c&cb=1516843178007&jobListingId=2473472195
Senior Machine Learning Scientist AWS AI Deep Learning,Amazon,2018-01-23, cloud volume aws algorithm java python perl, phd,,2018-01-24,canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=716&ao=133043&s=58&guid=000001612ae616238a5bb8ec4a7330e0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0b01c8be&cb=1516843178008&jobListingId=2454725233
Aquatic Scientist Junior,Associated Engineering,2018-01-18, hbase,, english,2018-01-24,canada,Vernon,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=717&ao=4120&s=58&guid=000001612ae616238a5bb8ec4a7330e0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_a58f9239&cb=1516843178008&jobListingId=2618886432
Data Science Manager Gestionnaire de la science des données,SSENSE,2018-01-18, regression median r python sql hbase r python sql, bachelor, english french,2018-01-24,canada,Montreal,QC,https://www.glassdoor.com/partner/jobListing.htm?pos=718&ao=210231&s=58&guid=000001612ae616238a5bb8ec4a7330e0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8249e256&cb=1516843178010&jobListingId=2595138457
CAN Scientist Sr,Boston Scientific,2018-01-08,, master, french,2018-01-24,canada,Ontario,Ontario,https://www.glassdoor.com/partner/jobListing.htm?pos=719&ao=215489&s=58&guid=000001612ae616238a5bb8ec4a7330e0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2a29db26&cb=1516843178011&jobListingId=2610632748
Junior Environmental Scientist SO E Full Time,Millennium EMS Solutions,2018-01-23, classification classification classification location data, bachelor,,2018-01-24,canada,Edmonton,AB,https://www.glassdoor.com/partner/jobListing.htm?pos=720&ao=4120&s=58&guid=000001612ae616238a5bb8ec4a7330e0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_d8cd43ca&cb=1516843178012&jobListingId=2644257120
