JobClear,companyClear,dateClean,skills,education,language,dateColect,country,cityClear,stateClear,url
Data Scientist,Dealer FX,2018-01-24, visualization dashboard model sql excel dashboard correlation model model database database mathematica econometrics sql visualization database excel,,,2018-01-24,canada,Markham,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=4008&s=58&guid=000001612ad3c5e89186850775614a17&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7449300d&cb=1516841977887&jobListingId=2645412178
Data Scientist,Thomson Reuters,2018-01-19, median visualization mathematica visualization scripting python r scala java nosql kafka aws visualization spark hadoop nosql elasticsearch classification, phd master phd,,2018-01-24,canada,Kitchener,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=133953&s=58&guid=000001612ad3c5e89186850775614a17&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_90ef003a&cb=1516841977888&jobListingId=2595601351
Data Scientist,Shutterstock,2018-01-23, feature java python query classification vector median median correlation feature median, phd,,2018-01-24,canada,Montreal,QC,https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=135887&s=58&guid=000001612ad3c5e89186850775614a17&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cfe3eddb&cb=1516841977889&jobListingId=2644207305
Data Scientist,Unilever,2018-01-10, model model r spss azure python database sql server visualization tableau,,,2018-01-24,canada,Mississauga,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=133032&s=58&guid=000001612ad3c5e89186850775614a17&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fe0f3c91&cb=1516841977890&jobListingId=2632356946
Data Scientist,Battlefy,2018-01-04, value feature sql python r regression tableau, phd,,2018-01-24,canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=14295&s=58&guid=000001612ad3c5e89186850775614a17&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_4afae295&cb=1516841977891&jobListingId=2607136907
Cards and Payments Data Scientist,Servus Credit Union,2018-01-11, algorithm visualization median unstructured data clustering classification regression correlation model model model clustering algorithm model database clustering storage value storage model clustering regression vector value model econometrics mathematica sas python r excel value value,,,2018-01-24,canada,Edmonton,AB,https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=266590&s=58&guid=000001612ad3c5e89186850775614a17&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_b31be4f2&cb=1516841977892&jobListingId=2634096897
Data Scientist,WGames Inc,2018-01-16, model model mathematica r python visualization tableau spotfire spark mathematica,,,2018-01-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=66506&s=58&guid=000001612ad3c5e89186850775614a17&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a0886cb2&cb=1516841977893&jobListingId=2616520366
Data Scientist,Splunk,2017-12-28, feature r stata weka matlab java scala data set sql hadoop mapreduce pig hive algorithm value,,,2018-01-24,canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=4128&s=58&guid=000001612ad3c5e89186850775614a17&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0b1c7256&cb=1516841977894&jobListingId=2576570396
Data Scientist,,2018-01-19, cloud algorithm mathematica mathematica algorithm python matlab r algorithm,,,2018-01-24,canada,ND,ND,https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=4341&s=58&guid=000001612ad3c5e89186850775614a17&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_3de306e3&cb=1516841977895&jobListingId=2572381389
Data Scientist,WSIB,2018-01-19, algorithm unstructured data visualization data set feature model model data set database server model feature algorithm de-identification model algorithm de-identification unstructured data model feature visualization nosql database cloud sas python mapreduce volume,,,2018-01-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=4468&s=58&guid=000001612ad3c5e89186850775614a17&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cafa4f79&cb=1516841977896&jobListingId=2640552602
Data Scientist,Rubikloud Technologies,2018-01-14, feature model regression data set feature algorithm algorithm python sql spark hadoop mathematica python sql spark hadoop storage,,,2018-01-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=14295&s=58&guid=000001612ad3c5e89186850775614a17&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_251bb528&cb=1516841977897&jobListingId=2637037372
Data Scientist,Wish,2017-12-31, algorithm algorithm feature algorithm hadoop spark mapreduce,,,2018-01-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=136208&s=58&guid=000001612ad3c5e89186850775614a17&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7b6c846c&cb=1516841977898&jobListingId=2363793138
Data Scientist,TD Bank,2018-01-04, value server model r python model algorithm model python unstructured data spark hive value server,,,2018-01-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=134866&s=58&guid=000001612ad3c5e89186850775614a17&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4943c39f&cb=1516841977899&jobListingId=2607040549
Data Scientist,Scribd,2018-01-01, value model model scripting python r,,,2018-01-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=8095&s=58&guid=000001612ad3c5e89186850775614a17&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_14afac44&cb=1516841977900&jobListingId=2604596820
Data Scientist,TalentSphere Staffing Solutions,2018-01-01, correlation algorithm model model python r tableau mathematica spark r, master bachelor,,2018-01-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=58811&s=58&guid=000001612ad3c5e89186850775614a17&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_3e4831fe&cb=1516841977902&jobListingId=2580046281
Data Scientist,Bell Canada,2018-01-19, mean correlation model model visualization model value mathematica database sas sql value server,, english french,2018-01-24,canada,Montreal,QC,https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=134631&s=58&guid=000001612ad3c5e89186850775614a17&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_09a4873e&cb=1516841977903&jobListingId=2641574748
Data Scientist,,2018-01-02,,,,2018-01-24,canada,ND,ND,https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=4120&s=58&guid=000001612ad6d69a9aa8d2bb0a480693&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f90996ec&cb=1516842178732&jobListingId=1128378493
Data Scientist,PC Financial,2018-01-23, mode value value regression clustering model unstructured data median hadoop mapreduce hive hbase sas sql excel shell, phd,,2018-01-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=202&ao=242900&s=58&guid=000001612ad6d69a9aa8d2bb0a480693&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_facc97da&cb=1516842178734&jobListingId=2643867670
Data Scientist,Akamai,2018-01-05, volume volume query excel model model r sas matlab ruby python perl java hadoop mapreduce hive, bachelor master,,2018-01-24,canada,Ottawa,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=203&ao=133116&s=58&guid=000001612ad6d69a9aa8d2bb0a480693&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_641e11fe&cb=1516842178735&jobListingId=2583521504
Data Scientist,Canadian Tire Corporation,2018-01-12, model model hadoop spark hive hbase sqoop visualization mathematica python r scala algorithm hadoop mapreduce spark pig hive sqoop unstructured data,,,2018-01-24,canada,Ontario,Ontario,https://www.glassdoor.com/partner/jobListing.htm?pos=204&ao=133291&s=58&guid=000001612ad6d69a9aa8d2bb0a480693&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2d5ea091&cb=1516842178736&jobListingId=2634435251
